datestamp,metric_id,category,title,slo,slo_min,weight
2024-05-01,BB02,Bravo,Metric Foxtrot,0.8,0.7,0.4
2024-05-01,BB03,Alpha,Metric Golf,0.96,0.95,0.9
2024-05-01,BB04,Alpha,Metric Hotel,0.9,0.8,0.2
2024-05-01,CC01,Bravo,Metric India,0.9,0.8,0.2
2024-05-01,CC02,Bravo,Metric Juliet,0.8,0.7,0.4
2024-05-01,CC03,Alpha,Metric Kilo,0.96,0.95,0.9
2024-05-01,CC04,Alpha,Metric Lima,0.9,0.8,0.2
2024-06-01,AA01,Bravo,Metric Alpha,0.9,0.8,0.2
2024-06-01,AA02,Bravo,Metric Bravo,0.8,0.7,0.4
2024-06-01,AA03,Alpha,Metric Charlie,0.96,0.95,0.9
2024-06-01,AA04,Alpha,Metric Delta,0.9,0.8,0.2
2024-06-01,BB01,Bravo,Metric Echo,0.9,0.8,0.2
2024-06-01,BB02,Bravo,Metric Foxtrot,0.8,0.7,0.4
2024-06-01,BB03,Alpha,Metric Golf,0.96,0.95,0.9
2024-06-01,BB04,Alpha,Metric Hotel,0.9,0.8,0.2
2024-06-01,CC01,Bravo,Metric India,0.9,0.8,0.2
2024-06-01,CC02,Bravo,Metric Juliet,0.8,0.7,0.4
2024-06-01,CC03,Alpha,Metric Kilo,0.96,0.95,0.9
2024-06-01,CC04,Alpha,Metric Lima,0.9,0.8,0.2
2024-07-01,AA01,Bravo,Metric Alpha,0.9,0.8,0.2
2024-07-01,AA02,Bravo,Metric Bravo,0.8,0.7,0.4
2024-07-01,AA03,Alpha,Metric Charlie,0.96,0.95,0.9
2024-07-01,AA04,Alpha,Metric Delta,0.9,0.8,0.2
2024-07-01,BB01,Bravo,Metric Echo,0.9,0.8,0.2
2024-07-01,BB02,Bravo,Metric Foxtrot,0.8,0.7,0.4
2024-07-01,BB03,Alpha,Metric Golf,0.96,0.95,0.9
2024-07-01,BB04,Alpha,Metric Hotel,0.9,0.8,0.2
2024-07-01,CC01,Bravo,Metric India,0.9,0.8,0.2
2024-07-01,CC02,Bravo,Metric Juliet,0.8,0.7,0.4
2024-07-01,CC03,Alpha,Metric Kilo,0.96,0.95,0.9
2024-07-01,CC04,Alpha,Metric Lima,0.9,0.8,0.2
2024-08-01,AA01,Bravo,Metric Alpha,0.9,0.8,0.2
2024-08-01,AA02,Bravo,Metric Bravo,0.8,0.7,0.4
2024-08-01,AA03,Alpha,Metric Charlie,0.96,0.95,0.9
2024-08-01,AA04,Alpha,Metric Delta,0.9,0.8,0.2
2024-08-01,BB01,Bravo,Metric Echo,0.9,0.8,0.2
2024-08-01,BB02,Bravo,Metric Foxtrot,0.8,0.7,0.4
2024-08-01,BB03,Alpha,Metric Golf,0.96,0.95,0.9
2024-08-01,BB04,Alpha,Metric Hotel,0.9,0.8,0.2
2024-08-01,CC01,Bravo,Metric India,0.9,0.8,0.2
2024-08-01,CC02,Bravo,Metric Juliet,0.8,0.7,0.4
2024-08-01,CC03,Alpha,Metric Kilo,0.96,0.95,0.9
2024-08-01,CC04,Alpha,Metric Lima,0.9,0.8,0.2
2024-09-01,AA01,Bravo,Metric Alpha,0.9,0.8,0.2
2024-09-01,AA02,Bravo,Metric Bravo,0.8,0.7,0.4
2024-09-01,AA03,Alpha,Metric Charlie,0.96,0.95,0.9
2024-09-01,AA04,Alpha,Metric Delta,0.9,0.8,0.2
2024-09-01,BB01,Bravo,Metric Echo,0.9,0.8,0.2
2024-09-01,BB02,Bravo,Metric Foxtrot,0.8,0.7,0.4
2024-09-01,BB03,Alpha,Metric Golf,0.96,0.95,0.9
2024-09-01,BB04,Alpha,Metric Hotel,0.9,0.8,0.2
2024-09-01,CC01,Bravo,Metric India,0.9,0.8,0.2
2024-09-01,CC02,Bravo,Metric Juliet,0.8,0.7,0.4
2024-09-01,CC03,Alpha,Metric Kilo,0.96,0.95,0.9
2024-09-01,CC04,Alpha,Metric Lima,0.9,0.8,0.2
2024-10-01,AA01,Bravo,Metric Alpha,0.9,0.8,0.2
2024-10-01,AA02,Bravo,Metric Bravo,0.8,0.7,0.4
2024-10-01,AA03,Alpha,Metric Charlie,0.96,0.95,0.9
2024-10-01,AA04,Alpha,Metric Delta,0.9,0.8,0.2
2024-10-01,BB01,Bravo,Metric Echo,0.9,0.8,0.2
2024-10-01,BB02,Bravo,Metric Foxtrot,0.8,0.7,0.4
2024-10-01,BB03,Alpha,Metric Golf,0.96,0.95,0.9
2024-10-01,BB04,Alpha,Metric Hotel,0.9,0.8,0.2
2024-10-01,CC01,Bravo,Metric India,0.9,0.8,0.2
2024-10-01,CC02,Bravo,Metric Juliet,0.8,0.7,0.4
2024-10-01,CC03,Alpha,Metric Kilo,0.96,0.95,0.9
2024-10-01,CC04,Alpha,Metric Lima,0.9,0.8,0.2
2024-11-01,AA01,Bravo,Metric Alpha,0.9,0.8,0.2
2024-11-01,AA02,Bravo,Metric Bravo,0.8,0.7,0.4
2024-11-01,AA03,Alpha,Metric Charlie,0.96,0.95,0.9
2024-11-01,AA04,Alpha,Metric Delta,0.9,0.8,0.2
2024-11-01,BB01,Bravo,Metric Echo,0.9,0.8,0.2
2024-11-01,BB02,Bravo,Metric Foxtrot,0.8,0.7,0.4
2024-11-01,BB03,Alpha,Metric Golf,0.96,0.95,0.9
2024-11-01,BB04,Alpha,Metric Hotel,0.9,0.8,0.2
2024-11-01,CC01,Bravo,Metric India,0.9,0.8,0.2
2024-11-01,CC02,Bravo,Metric Juliet,0.8,0.7,0.4
2024-11-01,CC03,Alpha,Metric Kilo,0.96,0.95,0.9
2024-11-01,CC04,Alpha,Metric Lima,0.9,0.8,0.2
2024-12-01,AA01,Bravo,Metric Alpha,0.9,0.8,0.2
2024-12-01,AA02,Bravo,Metric Bravo,0.8,0.7,0.4
2024-12-01,AA03,Alpha,Metric Charlie,0.96,0.95,0.9
2024-12-01,AA04,Alpha,Metric Delta,0.9,0.8,0.2
2024-12-01,BB01,Bravo,Metric Echo,0.9,0.8,0.2
2024-12-01,BB02,Bravo,Metric Foxtrot,0.8,0.7,0.4
2024-12-01,BB03,Alpha,Metric Golf,0.96,0.95,0.9
2024-12-01,BB04,Alpha,Metric Hotel,0.9,0.8,0.2
2024-12-01,CC01,Bravo,Metric India,0.9,0.8,0.2
2024-12-01,CC02,Bravo,Metric Juliet,0.8,0.7,0.4
2024-12-01,CC03,Alpha,Metric Kilo,0.96,0.95,0.9
2024-12-01,CC04,Alpha,Metric Lima,0.9,0.8,0.2
